BEGIN
CREATE TABLE
INSERT 0 649
 rk  |            team            |              league               |  str  |  ofs  |  dfs  |  sos  
 135 | Nice                       | French Ligue 1                    | 1.258 | 1.061 | 0.844 | 1.146
 136 | Leeds United               | English League Championship       | 1.257 | 1.281 | 1.019 | 1.008
 137 | Cruzeiro                   | Brazilian Serie A                 | 1.252 | 1.052 | 0.840 | 1.042
 138 | Sint-Truidense             | Belgian First Division A          | 1.251 | 1.272 | 1.017 | 1.066
 139 | Atlético-MG                | Brazilian Serie A                 | 1.249 | 1.206 | 0.965 | 1.018
 140 | Olympiakos                 | Greek Super League                | 1.248 | 1.219 | 0.977 | 0.984
 141 | Rostov                     | Russian Premier League            | 1.246 | 1.050 | 0.843 | 1.106
 142 | Phoenix Rising FC          | USL Championship                  | 1.243 | 1.306 | 1.050 | 0.948
 143 | AZ Alkmaar                 | Dutch Eredivisie                  | 1.235 | 1.337 | 1.083 | 0.931
 144 | Royal Charleroi SC         | Belgian First Division A          | 1.219 | 1.277 | 1.048 | 1.067
 145 | Luton Town                 | English League One                | 1.213 | 1.192 | 0.982 | 0.881
